;Cl;Or;Fam;ComNa;SciNa;BiogRe;CITES;IUCN;BiogZo;HoldBio;HoldPre;HoldTemp;HoldAB;HoldLR;HoldAD;HabAct;HabPat;LSG
18;Insecta;Coleoptera;Tenebrionidae;Superworm;Zophobas morio;Neotropical;N;DD;Central America;Moist forest;2000 - 4000;>24;Premontane;Tropical;1000 - 1800;Diurnal, nocturnal;Forest surface;Larva
19;Insecta;Coleoptera;Scarabaeidae;Horned beetle;Golofa porteri;Neotropical;N;DD;Central America, South America;Wet forest;1000 - 2000;6 - 12;Montane;Cool temperate;2500 - 3300;Diurnal, nocturnal;Subsoil;Larva
20;Insecta;Coleoptera;Scarabaeidae;Neptune beetle;Dynastes neptunus;Neotropical;N;DD;South America;Rain forest;2000 - 4000;>24;Subalpine;Boreal;1200 - 2400;Nocturnal;Forest surface;Larva, Imago
21;Insecta;Coleoptera;Scarabaeidae;Elephant beetle;Megasoma elephas;Neotropical;N;DD;South America;Dry forest;1000 - 2000;>24;Premontane;Tropical;100 - 2000;Nocturnal;Subsoil;Larva, Imago
22;Insecta;Coleoptera;Lucanidae;Stag beetle;Lucanus cervus;Paleartic;N;DD;Europe;Moist forest;2000 - 4000;>24;Premontane;Tropical;1000 - 1800;Nocturnal;Subsoil;Larva, Imago
23;Insecta;Coleoptera;Scarabaeidae;Japanese rhinoceros beetle;Trypoxylus dichotomus;Paleartic;N;DD;Asia;Moist forest;2000 - 4000;>24;Premontane;Tropical;1000 - 1800;Nocturnal;Subsoil;Larva, Imago
24;Insecta;Lepidoptera;Erebidae;Coca tussock moth;Eloria noyesi;Neotropical;N;DD;South America;Moist forest;2000 - 4000;>24;Premontane;Tropical;1000 - 1800;Diurnal, nocturnal;Forest canopy;Larva, Imago
25;Insecta;Lepidoptera;Papilionidae;Common yellow swallowtail;Papilio machaon;Paleartic, Neartic;N;LC;Asia, Europe, North America;Steppe;250 - 500;6 - 12;Montane;Cool temperate;1100 - 2000;Diurnal;Forest canopy;Imago
26;Insecta;Lepidoptera;Nymphalide;Giant blue morpho;Morpho didius;Neotropical;N;DD;South America;Moist forest;2000 - 4000;>24;Premontane;Tropical;1000 - 1800;Diurnal;Forest canopy;Larva, Imago
27;Insecta;Lepidoptera;Papilionidae;'Queen Alexandra''s birdwing';Ornithoptera alexandrae;Paleartic, Indomalayan;I;EN;Asia;Moist forest;2000 - 4000;>24;Premontane;Tropical;1000 - 1800;Diurnal;Forest canopy;Larva, Imago
28;Insecta;Hemiptera;Dactylopiidae;Cochineals;Dactylopius coccus;Afrotropical, Neotropical;N;DD;Central America, South America;Desert scrub;125 - 250;6 - 12;Montane;Cool temperate;2500 - 3300;Diurnal, nocturnal;Forest surface;Imago
29;Insecta;Lepidoptera;Cossidae;Mezcal worm;Comadia redtenbacheri;Neotropical;N;DD;South America;Dry forest;125 - 250;>24;Premontane;Tropical;100 - 2000;Nocturnal;Forest surface;Larva, Imago
30;Insecta;Hymenoptera;Braconidae;Braconid wasp;Aphidius colemani;Neotropical;N;DD;South America;Moist forest;2000 - 4000;>24;Premontane;Tropical;1000 - 1800;Diurnal;Forest surface;Imago
31;Insecta;Ortoptera;Pyrgomorphidae;Chapulin, corn-field grasshopper;Sphenarium purpurascens;Neotropical;N;DD;Central America;Dry scrub;125 - 250;3 - 6;Subalpine;Boreal;500–2600;Diurnal;Forest surface;Nymph, Imago
32;Insecta;Diptera;Asilidae;Yellow assassin fly;Laphria flava;Neotropical;N;DD;South America;Moist forest;1000 - 2000;12 - 18;Lower montane ;Warm temperate;1800 - 2000;Diurnal;Forest surface;Imago
33;Insecta;Diptera;Syrphidae;Hoverfly, Band-eyed drone fly;Eristalinus taeniops;Neartic, Neotropical;N;DD;Africa, Asia, Europe, South America;Moist forest;1000 - 2000;12 - 18;Lower montane ;Warm temperate;1800 - 2000;Diurnal;Forest surface;Larva, Imago
34;Insecta;Hemiptera;Pentatomidae;Edible bedbug;Euschistus taxcoensis;Neotropical;N;DD;Central America;Moist forest;1000 - 2000;12 - 18;Lower montane ;Warm temperate;1800 - 2000;Nocturnal;Forest surface;Imago
35;Insecta;Blattodea;Blaberidae;Dubia- roach;Blaptica dubia;Neotropical;N;DD;South America;Moist forest;1000 - 2000;12 - 18;Lower montane ;Warm temperate;1800 - 2000;Nocturnal;Subsoil;Nymph, Imago
36;Insecta;Hymenoptera;Formicidae;Harvester ant;Messor barbarus;Paleartic;N;DD;Europe;Dry scrub;125 - 250;3 - 6;Subalpine;Boreal;500–2600;Diurnal, nocturnal;Subsoil, Meadows, Plains;Imago
37;Insecta;Coleoptera;Elateroidea;Cocuyo;Pyrophorus noctilucus;Neotropical;N;DD;South America;Moist forest;2000 - 4000;>24;Premontane;Tropical;1000 - 1800;Nocturnal;Subsoil;Larva, Imago
38;Insecta;Coleoptera;Cerambycidae;Harlequin beetle;Acrocinus longimanus;Neotropical;N;DD;South America;Rain forest;8000 - 16000;>24;Premontane;Tropical;2000 - 3000;Nocturnal;Subsoil;Larva, Imago
39;Insecta;Coleoptera;Carabidae;Manticora beetle;Manticora scabra;Afrotropical;N;DD;Africa;Desert scrub;125 - 250;12 - 18;Lower montane;Warm temperate;100 - 500;Nocturnal;Subsoil;Larva, Imago
40;Insecta;Hymenoptera;Formicidae;Weaver ant;Oecophylla smaragdina;Neotropical;N;DD;Asia, Oceania;Moist forest;2000 - 4000;>24;Premontane;Tropical;1000 - 1800;Diurnal;Forest surface;Larva, Imago
41;Insecta;Hymenoptera;Formicidae;Eciton army ant;Eciton burchellii;Neotropical;N;DD;Central America, South America;Moist forest;2000 - 4000;>24;Premontane;Tropical;1000 - 1800;Diurnal, nocturnal;Forest surface;Imago
42;Insecta;Hemiptera;Reduviidae;Horrid king assassin bug;Psytalla horrida;Afrotropical;N;DD;Africa;Dry forest;1000 - 2000;>24;Premontane;Tropical;100 - 2000;Nocturnal;Subsoil;Imago
43;Insecta;Ephemeroptera ;Leptohyphidae;Ephemeral;Haplohyphes huallaga;Neotropical;N;DD;South America;Dry forest;1000 - 2000;>24;Premontane;Tropical;100 - 2000;Diurnal, nocturnal;Forest surface;Larva, Imago
44;Insecta;Coleoptera;Curculionidae;Banana root borer;Cosmopolites sordidus;Neotropical;N;DD;Cosmopolitan;Moist forest;1000 - 2000;12 - 18;Lower montane;Warm temperate;1800 - 2000;Diurnal, nocturnal;Vegetation;Larva
45;Insecta;Lepidoptera;Nymphalide;Forest Giant owl;Caligo eurilochus;Neotropical;N;DD;Central America, South America;Rain forest;4000 - 8000;12 - 24;Premontane;Tropical;2000 - 3000;Crepuscular;Forest canopy;Imago
46;Insecta;Hymenoptera;Apidae;Common bumblebee;Bombus atratus;Neotropical;N;LC;South America;Wet forest;1000 - 2000;6 - 12;Montane;Cool temperate;2500 - 3300;Diurnal;Forest surface;Imago
47;Insecta;Blattodea;Lycidae;Colombian- roach;Lucihormetica subcincta;Neotropical;N;DD;South America;Moist forest;2000 - 4000;>24;Premontane;Tropical;1000 - 1800;Crepuscular;Subsoil;Pupa, Imago
48;Insecta;Coleoptera;Tenebrionidae;Superworm;Zophobas opacus;Neotropical;N;DD;South America;Moist forest;2000 - 4000;>24;Premontane;Tropical;1000 - 1800;Nocturnal;Subsoil, Forest surface;Larva, Imago
49;Insecta;Diptera;Stratiomyidae;Yellow soldier fly;Ptecticus trivittatus;Neartic, Neotropical;N;DD;America;Moist forest;2000 - 4000;>24;Premontane;Tropical;1000 - 1800;Diurnal;Forest surface;Larva, Pupa, Imago
50;Insecta;Coleoptera;Tenebrionidae;Lesser mealworm;Alphitobius diaperinus;Afrotropical;N;DD;Africa;Wet forest;1000 - 2000;6 - 12;Montane;Cool temperate;2500 - 3300;Nocturnal;Subsoil, cracks in walls, floors;Larva
51;Insecta;Hemiptera;Cicadidae;Citrus cicada;Diceroprocta apache;Neartic, Neotropical;N;DD;America;Moist forest;2000 - 4000;>24;Premontane;Tropical;1000 - 1800;Diurnal, nocturnal;Stems, leaves;Imago
52;Insecta;Coleoptera;Curculionidae;Acorn weevils;Curculio spp.;Neartic, Neotropical;N;DD;America;Moist forest;2000 - 4000;>24;Premontane;Tropical;1000 - 1800;Diurnal, nocturnal;Vegetation;Larva
53;Insecta;Hymenoptera;Formicidae;Black carpenter ant;Camponotus pennsylvanicus;Neartic, Neotropical;N;DD;Central America, North America;Moist forest;2000 - 4000;>24;Premontane;Tropical;1000 - 1800;Nocturnal;Forest surface;Larva, Imago
54;Insecta;Hymenoptera;Apidae;Western honeybee;Apis mellifera;Paleartic;N;DD;Europe;Dry forest;500 - 1000;12 - 24;Lower montane;Warm temperate;2000 - 3000;Diurnal;Forest surface;Larva, Pupa, Imago
55;Insecta;Hymenoptera;Formicidae;Escamoles;Liometopum spp;Paleartic, Neartic, Neotropical;N;DD;Asia, Europe, North America;Moist forest;2000 - 4000;>24;Premontane;Tropical;1000 - 1800;Diurnal, nocturnal;Forest surface;Imago
56;Insecta;Hymenoptera;Formicidae;Leafcutter ant;Atta spp;Neartic, Neotropical;N;DD;America;Dry forest;1000 - 2000;>24;Premontane;Tropical;100 - 2000;Diurnal, nocturnal;Subsoil;Imago
57;Insecta;Coleoptera;Tenebrionidae;Chinese weevil;Ulomoides dermestoides;Paleartic;N;DD;Asia;Moist forest;500 - 1000;6 - 12;Montane;Cool temperate;2500 - 3300;Nocturnal;Ground litter;Larva, Pupa, Imago
58;Insecta;Blattodea;Blaberidae;Madagascar hissing cockroach;Gromphadorhina portentosa;Afrotropical;N;DD;Africa;Dry forest;1000 - 2000;>24;Premontane;Tropical;100 - 2000;Nocturnal;Subsoil;Nymph, Imago
59;Insecta;Coleoptera;Tenebrionidae;Dark mealworm beetle;Tenebrio obscurus;Paleartic;N;DD;Europe;Dry forest;500 - 1000;12 - 24;Lower montane;Warm temperate;2000 - 3000;Nocturnal;Subsoil;Pupa, Imago
60;Insecta;Diptera;Tephritidae;Mediterranean fruit fly, medfly;Ceratitis capitata;Paleartic, Afrotropical;N;DD;Africa;Moist forest;2000 - 4000;>24;Premontane;Tropical;1000 - 1800;Diurnal;Forest surface;Larva
61;Insecta;Diptera;Calliphoridae;Common green bottle fly;Lucilia sericata;Afrotropical, Neotropical, Oceanian;N;DD;Africa, Oceania, South America;Moist forest;1000 - 4000;>24;Premontane;Tropical;1000 - 1800;Diurnal;Forest surface;Larva, Imago
62;Insecta;Diptera;Muscidae;Face fly;Musca autumnalis;Paleartic, Indomalayan;N;DD;Africa, Asia;Dry forest;1000 - 2000;>24;Premontane;Tropical;100 - 2000;Diurnal;Forest surface;Larva, Pupa
63;Insecta;Ortoptera;Gryllidae;Edible cricket;Scapsipedus icipe;Afrotropical;N;DD;Africa;Very Dry forest;500 - 1000;>24;Premontane;Tropical;600 - 1000;Diurnal;Forest surface;Nymph, Imago
64;Insecta;Hemiptera;Belostomatidae;Giant water bugs;Lethocerus cordofanus ;Afrotropical;N;DD;Africa;Very Dry forest;500 - 1000;>24;Premontane;Tropical;600 - 1000;Nocturnal;Rivers;Nymph, Imago
65;Insecta;Lepidoptera;Saturniidae;Mopane worm;Imbrasia spp;Afrotropical;N;DD;Africa;Very Dry forest;500 - 1000;>24;Premontane;Tropical;600 - 1000;Nocturnal;Forest canopy;Larva, Imago
66;Insecta;Lepidoptera;Notodontidae;Silkmoth;Anaphe panda;Afrotropical;N;DD;Africa;Dry forest;500 - 1000;12 - 24;Lower montane;Warm temperate;2000 - 3000;Nocturnal;Forest canopy;Larva, Imago
67;Insecta;Hymenoptera;Formicidae;African thief ant;Carebara vidua;Afrotropical;N;DD;Africa;Dry forest;500 - 1000;12 - 24;Lower montane;Warm temperate;2000 - 3000;Diurnal, nocturnal;Subsoil;Imago
68;Insecta;Ortoptera;Tettigoniidae;Nsenene;Ruspolia  differens;Afrotropical;N;DD;Africa;Dry forest;1000 - 2000;>24;Premontane;Tropical;100 - 2000;Diurnal;Forest surface;Nymph, Imago
69;Insecta;Diptera;Chaobiridae;Phantom midges;Chaoborus edulis;Afrotropical;N;DD;Africa;Very Dry forest;500 - 1000;>24;Premontane;Tropical;600 - 1000;Nocturnal;Forest surface;Larva
70;Insecta;Hemiptera;Tessaratomidae;Bedbug;Encosternum spp;Afrotropical;N;DD;Africa;Very Dry forest;500 - 1000;>24;Premontane;Tropical;600 - 1000;Nocturnal;Stems, leaves;Nymph, Imago
71;Insecta;Ortoptera;Acrididae;Sahelian tree locust;Anacridium melanorhodon;Afrotropical;N;DD;Africa;Very Dry forest;500 - 1000;>24;Premontane;Tropical;600 - 1000;Diurnal;Forest surface;Nymph, Imago
72;Insecta;Blattodea;Termitidae;Mendi termite; Macrotermes subhyalinus;Afrotropical;N;DD;Africa;Very Dry forest;500 - 1000;>24;Premontane;Tropical;600 - 1000;Diurnal, nocturnal;Wood;Nymph, Imago
73;Insecta;Ortoptera;Tettigoniidae;Grasshopper;Ruspolia nitidula;Afrotropical;N;DD;Africa, Europe;Very Dry forest;500 - 1000;>24;Premontane;Tropical;600 - 1000;Diurnal;Forest surface;Nymph, Imago
74;Insecta;Ortoptera;Acrididae;Migratory locust;Locusta migratoria ;Afrotropical, Paleartic;N;DD;Africa, Asia, Europe;Very Dry forest;500 - 1000;>24;Premontane;Tropical;600 - 1000;Diurnal;Forest surface;Nymph, Imago
75;Insecta;Lepidoptera;Crambidae;Bamboo borer;Omphisa fuscidentalis;Paleartic, Indomalayan;N;DD;Asia;Moist forest;500 - 1000;6 - 12;Montane;Cool temperate;2500 - 3300;Nocturnal;Sumsoil, wood;Larva, Imago
76;Insecta;Ortoptera;Acrididae;Bombay locust;Patanga succincta;Paleartic, Indomalayan;N;DD;Asia;Moist forest;1000 - 2000;12 - 24;Premontane;Subtropical;1000 - 1800;Diurnal;Forest surface;Nymph, Imago
77;Insecta;Coleoptera;Curculionidae;Red palm weevil;Rhynchophorus ferrugineus;Paleartic, Indomalayan;N;DD;Asia;Moist forest;1000 - 2000;12 - 24;Premontane;Subtropical;1000 - 1800;Diurnal;Subsoil;Larva
78;Insecta;Hemiptera;Pentatomidae;Stinky bebug;Aspongopus nepalensis ;Paleartic, Afrotropical;N;DD;Africa, Asia;Very Dry forest;500 - 1000;>24;Premontane;Tropical;600 - 1000;Nocturnal;Stems, leaves;Nymph, Imago
79;Insecta;Coleoptera;Coccinellidae;Ladybug;Harmonia axyridis;Paleartic;N;DD;Asia;Moist forest;500 - 1000;6 - 12;Montane;Cool temperate;2500 - 3300;Diurnal;Leaves;Larva, Imago
80;Insecta;Hymenoptera;Formicidae;Red wood ant;Formica rufa;Paleartic;N;NT;Europe;Dry forest;500 - 1000;12 - 24;Lower montane;Warm temperate;2000 - 3000;Diurnal;Forest surface;Larva, Imago
81;Insecta;Coleoptera;Lampyridae;Glow- worm;Lampyris noctiluca;Paleartic;N;DD;Asia, Europe;Wet forest;2000 - 4000;12 - 24;Lower montane;Warm temperate;1000 - 2000;Nocturnal;Shore of water bodies;Larva, Pupa, Imago
82;Insecta;Lepidoptera;Noctuidae;Nocturnal Bogong moth ;Agrotis infusa;Australian, Oceanian;N;EN;Oceania;Moist forest;1000 - 2000;12 - 24;Lower montane;Warm temperate;1800 - 2000;Nocturnal;Forest surface;Larva, Imago
83;Insecta;Hymenoptera;Formicidae;Honey ant;Camponotus inflatus;Australian;N;DD;Oceania;Desert scrub;125 - 250;>24;Premontane;Tropical;400 - 1300;Diurnal;Forest surface;Larva, Imago
84;Insecta;Hymenoptera;Formicidae;Red honey ant;Melophorus bagoti;Australian;N;DD;Oceania;Desert scrub;125 - 250;>24;Premontane;Tropical;400 - 1300;Diurnal;Forest surface;Larva, Imago
85;Insecta;Lepidoptera;Erebidae;Baphomet moth;Creatonotos gangis;Indomalayan, Australian;N;DD;Asia, Oceania;Desert scrub;125 - 250;>24;Premontane;Tropical;400 - 1300;Nocturnal;Forest surface;Larva, Imago
86;Insecta;Ortoptera;Rhaphidophoridae;Weta insect;Deinacrida spp;Oceanian;N;DD;Oceania;Moist forest;1000 - 2000;12 - 24;Lower montane;Warm temperate;1800 - 2000;Nocturnal;Subsoil;Nymph, Imago
87;Insecta;Coleoptera;Passalidae;Rotten wood beetle;Passalus sp;Neartic, Neotropical;N;DD;America;Moist forest;1000 - 2000;12 - 24;Lower montane;Warm temperate;1800 - 2000;Nocturnal;Rotten wood;Larva, Imago
88;Insecta;Blattodea;Blaberidae;Green banana cockroach;Panchlora nivea;Neartic, Neotropical;N;DD;America;Very Dry forest;500 - 1000;>24;Premontane;Tropical;600 - 1000;Nocturnal;Subsoil;Nymph, Imago
89;Insecta;Coleoptera;Scarabaeidae;Green fruit beetle;Cotinis mutabilis;Neartic;N;DD;North America;Dry forest;1000 - 2000;>24;Premontane;Subtropical;100 - 2000;Nocturnal;Soil;Larva
90;Insecta;Megaloptera;Corydalidae;Eastern dobsonfly;Corydalus cornutus;Neartic;N;DD;North America;Moist forest;1000 - 2000;12 - 24;Lower montane;Warm temperate;1800 - 2000;Diurnal, nocturnal;Vegetation;Larva, Imago
91;Insecta;Lepidoptera;Nymphalide;Monarch butterfly;Danaus plexippus ;Neartic, Neotropical;N;DD;America;Dry forest;1000 - 2000;>24;Premontane;Tropical;100 - 2000;Diurnal;Vegetation;Larva, Imago
92;Insecta;Diptera;Oestridae;Reindeer nose botfly;Cephenemyia trompe;Neartic;N;DD;North America;Moist forest;500 - 1000;6 - 12;Montane;Cool temperate;2500 - 3300;Diurnal;Forest surface;Larva
93;Insecta;Diptera;Oestridae;Reindeer warble botfly;Hypoderma tarandi;Neartic;N;DD;North America;Moist forest;500 - 1000;6 - 12;Montane;Cool temperate;2500 - 3300;Diurnal;Forest surface;Larva
94;Insecta;Coleoptera;Scarabaeidae;May beetles;Phyllophaga spp;Neartic, Neotropical;N;DD;North America, South America;Moist forest;1000 - 2000;12 - 24;Lower montane;Warm temperate;1800 - 2000;Nocturnal;Soil;Larva, imago
95;Insecta;Coleoptera;Cerambycidae;Elderberry borer;Desmocerus palliatus;Neartic;N;DD;North America;Moist forest;1000 - 2000;12 - 24;Lower montane;Warm temperate;1800 - 2000;Nocturnal;Subsoil;Larva, Imago
96;Insecta;Lepidoptera;Cossidae;Maguey worm;Hypopta agavis;Neartic, Neotropical;N;DD;Central America, North America;Dry forest;1000 - 2000;>24;Premontane;Subtropical;100 - 2000;Nocturnal;Forest surface;Larva, Imago
97;Insecta;Coleoptera;Tenebrionidae;Pinacate beetle;Eleodes longicollis;Neotropical, Indomalayan;N;DD;America;Very Dry forest;500 - 1000 ;>24;Premontane;Tropical;600 - 1000;Nocturnal;Subsoil;Larva, Pupa, Imago
98;Insecta;Coleoptera;Scarabaeidae;Green devil beetle;Oxysternon conspicillatum;Neotropical;N;DD;Central America, South America;Dry forest;1000 - 2000;>24;Premontane;Tropical;100 - 2000;Diurnal;Soil;Larva, Imago
99;Insecta;Coleoptera;Scarabaeidae;Shining leaf chafer;Anomala spp;Neotropical;N;DD;Central America, South America;Dry forest;1000 - 2000;>24;Premontane;Tropical;100 - 2000;Nocturnal;Subsoil;Larva
100;Insecta;Coleoptera;Cerambycidae;Giant longhorn beetle, imperious sawyer;Enoplocerus armillatus;Neotropical;N;DD;Central America, South America;Moist forest;1000 - 2000;12 - 24;Premontane;Subtropical;1000 - 1800;Nocturnal;Subsoil;Larva, Imago
101;Insecta;Coleoptera;Lucanidae;Stag beetle;Cantharolethrus luxerii luxerii ;Neotropical;N;DD;Central America, South America;Very Dry forest;500 - 1000 ;>24;Premontane;Tropical;600 - 1000;Nocturnal;Subsoil;Larva, Imago
102;Insecta;Blattodea;Blattidae;American cockroach;Periplaneta americana;Cosmopolitan;N;DD;Africa, Cosmopolitan;Very Dry forest;500 - 1000;>24;Premontane;Tropical;600 - 1000;Nocturnal;Subsoil;Nymph, Imago
103;Insecta;Diptera;Drosophilidae;Fruit fly;Drosophila melanogaster;Cosmopolitan;N;DD;Africa, Cosmopolitan;Very Dry forest;500 - 1000;>24;Premontane;Tropical;600 - 1000;Diurnal;Forest surface;Larva
104;Insecta;Hymenoptera;Apidae;Buff-tailed bumblebee;Bombus terrestris;Paleartic;N;DD;Europe;Dry forest;500 - 1000;12 - 24;Lower montane;Warm temperate;2500 - 3300;Diurnal;Forest surface;Imago
105;Insecta;Hymenoptera;Apidae;Jatai bee;Tetragoniosca angustula;Neotropical;N;DD;South America;Moist forest;2000-4000;>24;Premontane;Tropical;100 - 2600;Diurnal;Forest surface;Larva, Pupa, Imago
106;Insecta;Hymenoptera;Apidae;Stingless bee;Melipona eburnea;Neotropical;N;DD;South America;Moist forest;2000-4000;>24;Premontane;Tropical;100 - 2600;Diurnal;Forest surface;Larva, Pupa, Imago
